Product_ID,Name,Description,Price,Stock
PROD001,Silla Ergonómica LumbarPro,Silla de oficina ergonómica con soporte lumbar ajustable malla transpirable reposabrazos 3D y mecanismo sincronizado. Ideal para evitar dolores de espalda en jornadas de más de 8 horas.,185.50,45
PROD002,Escritorio Elevable Motorizado,Escritorio de pie (Standing Desk) con doble motor ajustable en altura (70-120cm) tablero de madera de roble 140x70cm y memoria de 4 posiciones programables.,320.00,12
PROD003,Cajonera Metálica 3 Cajones,Cajonera de acero con cerradura de seguridad ruedas con freno y organizador de papelería incluido. Tamaño compacto para colocar debajo del escritorio. Color negro.,75.99,30
PROD004,Lámpara LED de Escritorio Táctil,Lámpara flexo LED regulable con 5 niveles de brillo 3 modos de temperatura de color (cálida natural y fría) y puerto USB integrado para cargar dispositivos móviles.,29.90,85
PROD005,Silla Confidente Piel Sintética,Silla de diseño elegante para salas de reuniones o visitas. Base de patín cromada tapizado en cuero sintético negro fácil de limpiar y brazos fijos.,110.00,24
PROD006,Pizarra Magnética con Caballete,Pizarra blanca magnética de 90x60cm incluye soporte de trípode ajustable en altura bandeja inferior para rotuladores y borrador en seco.,55.00,18
PROD007,Reposapiés Ergonómico Inclinable,Reposapiés de oficina con superficie de masaje antideslizante y 3 niveles de altura ajustable para mejorar la circulación sanguínea de las piernas.,22.50,60
PROD008,Soporte Doble para Monitor,Brazo articulado para dos pantallas de hasta 27 pulgadas fijación mediante pinza al escritorio sistema de gestión de cables oculto y rotación 360 grados.,45.99,40
PROD009,Mesa de Reuniones Ovalada,Mesa de conferencias para 8 personas dimensiones 240x120cm acabado en madera de cerezo con pasacables central de aluminio para conectar equipos.,450.00,5
PROD010,Estantería Abierta 5 Baldas,Estantería de oficina robusta en color blanco 180x80x40cm soporta hasta 50kg por balda ideal para organizar archivadores AZ y cajas.,89.90,22
PROD011,Teclado Inalámbrico Ergonómico,Teclado de diseño curvado y dividido para reducir la fatiga en las muñecas conectividad Bluetooth multidispositivo y batería de larga duración.,65.00,35
PROD012,Ratón Vertical Óptico,Ratón ergonómico vertical diseñado para prevenir el síndrome del túnel carpiano 5 botones programables y DPI variable según la necesidad del usuario.,24.99,50
PROD013,Pack 10 Cajas Archivadoras,Cajas de cartón corrugado de alta resistencia para archivo definitivo tamaño folio color marrón natural con zona de etiquetado frontal.,15.50,120
PROD014,Destructora de Papel Microcorte,Trituradora de documentos nivel de seguridad P-4 capacidad para 10 hojas simultáneas destruye grapas y tarjetas de crédito papelera de 20 litros.,135.00,15
PROD015,Panel Acústico Separador,Panel divisorio de escritorio fonoabsorbente tapizado en tela gris 120x60cm. Mejora la privacidad visual y reduce el ruido ambiente en oficinas abiertas (coworking).,78.00,28
PROD016,Archivador Metálico 4 Gavetas,Mueble archivador vertical para carpetas colgantes tamaño A4 acero de primera calidad con sistema antivuelco (solo abre un cajón a la vez) color gris claro.,195.00,10
PROD017,Organizador de Escritorio Bambú,Bandeja organizadora de madera de bambú natural y sostenible con 6 compartimentos de diferentes tamaños para bolígrafos clips y notas adhesivas.,18.90,75
PROD018,Silla Gaming Profesional,Silla diseñada para programadores o largas horas frente al ordenador cojines lumbar y cervical extraíbles respaldo reclinable hasta 180 grados y ruedas silenciosas.,210.00,16
PROD019,Escritorio Esquinero L,Mesa de oficina en forma de L reversible 150x150cm estructura metálica robusta y tablero color nogal resistente a arañazos y líquidos.,175.00,20
PROD020,Pack 500 Folios A4 80g,Paquete de papel ecológico multiusos alta opacidad y blancura garantizada para un rendimiento óptimo en impresoras láser y de inyección de tinta.,4.95,300
